Codigo region,1,2,3,4,5,5,5,6,7,8,8,8,8,9,9,10,10,10,11,12,13,13,13,13,13,13,14,15,16,1,2,3,4,5,5,5,6,7,8,8,8,8,9,9,10,10,10,11,12,13,13,13,13,13,13,14,15,16,1,2,3,4,5,5,5,6,7,8,8,8,8,9,9,10,10,10,11,12,13,13,13,13,13,13,14,15,16,1,2,3,4,5,5,5,6,7,8,8,8,8,9,9,10,10,10,11,12,13,13,13,13,13,13,14,15,16,1,2,3,4,5,5,5,6,7,8,8,8,8,9,9,10,10,10,11,12,13,13,13,13,13,13,14,15,16,1,2,3,4,5,5,5,6,7,8,8,8,8,9,9,10,10,10,11,12,13,13,13,13,13,13,14,15,16,1,2,3,4,5,5,5,6,7,8,8,8,8,9,9,10,10,10,11,12,13,13,13,13,13,13,14,15,16,1,2,3,4,5,5,5,6,7,8,8,8,8,9,9,10,10,10,11,12,13,13,13,13,13,13,14,15,16
Region,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,Maule,Bíobío,Bíobío,Bíobío,Bíobío,Araucanía,Araucanía,Los Lagos,Los Lagos,Los Lagos,Aysén,Magallanes,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Los Ríos,Arica y Parinacota,Ñuble,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,Maule,Bíobío,Bíobío,Bíobío,Bíobío,Araucanía,Araucanía,Los Lagos,Los Lagos,Los Lagos,Aysén,Magallanes,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Los Ríos,Arica y Parinacota,Ñuble,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,Maule,Bíobío,Bíobío,Bíobío,Bíobío,Araucanía,Araucanía,Los Lagos,Los Lagos,Los Lagos,Aysén,Magallanes,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Los Ríos,Arica y Parinacota,Ñuble,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,Maule,Bíobío,Bíobío,Bíobío,Bíobío,Araucanía,Araucanía,Los Lagos,Los Lagos,Los Lagos,Aysén,Magallanes,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Los Ríos,Arica y Parinacota,Ñuble,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,Maule,Bíobío,Bíobío,Bíobío,Bíobío,Araucanía,Araucanía,Los Lagos,Los Lagos,Los Lagos,Aysén,Magallanes,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Los Ríos,Arica y Parinacota,Ñuble,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,Maule,Bíobío,Bíobío,Bíobío,Bíobío,Araucanía,Araucanía,Los Lagos,Los Lagos,Los Lagos,Aysén,Magallanes,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Los Ríos,Arica y Parinacota,Ñuble,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,Maule,Bíobío,Bíobío,Bíobío,Bíobío,Araucanía,Araucanía,Los Lagos,Los Lagos,Los Lagos,Aysén,Magallanes,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Los Ríos,Arica y Parinacota,Ñuble,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,Maule,Bíobío,Bíobío,Bíobío,Bíobío,Araucanía,Araucanía,Los Lagos,Los Lagos,Los Lagos,Aysén,Magallanes,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Los Ríos,Arica y Parinacota,Ñuble
Servicio salud,SS IQUIQUE,SS ANTOFAGASTA,SS ATACAMA,SS COQUIMBO,SS ACONGAGUA,SS VALPARAISO SAN ANTONIO,SS VIÑA DEL MAR QUILLOTA,SS LIBERTADOR B. O'HIGGINS,SS DEL MAULE,SS ARAUCO,SS BÍO BÍO,SS CONCEPCIÓN,SS TALCAHUANO,SS ARAUCANÍA NORTE,SS ARAUCANÍA SUR,SS CHILOÉ,SS DEL RELONCAVÍ,SS OSORNO,SS AISÉN,SS MAGALLANES,SS METROPOLITANO CENTRAL,SS METROPOLITANO NORTE,SS METROPOLITANO OCCIDENTE,SS METROPOLITANO ORIENTE,SS METROPOLITANO SUR,SS METROPOLITANO SUR ORIENTE,SS VALDIVIA,SS ARICA,SS ÑUBLE,SS IQUIQUE,SS ANTOFAGASTA,SS ATACAMA,SS COQUIMBO,SS ACONGAGUA,SS VALPARAISO SAN ANTONIO,SS VIÑA DEL MAR QUILLOTA,SS LIBERTADOR B. O'HIGGINS,SS DEL MAULE,SS ARAUCO,SS BÍO BÍO,SS CONCEPCIÓN,SS TALCAHUANO,SS ARAUCANÍA NORTE,SS ARAUCANÍA SUR,SS CHILOÉ,SS DEL RELONCAVÍ,SS OSORNO,SS AISÉN,SS MAGALLANES,SS METROPOLITANO CENTRAL,SS METROPOLITANO NORTE,SS METROPOLITANO OCCIDENTE,SS METROPOLITANO ORIENTE,SS METROPOLITANO SUR,SS METROPOLITANO SUR ORIENTE,SS VALDIVIA,SS ARICA,SS ÑUBLE,SS IQUIQUE,SS ANTOFAGASTA,SS ATACAMA,SS COQUIMBO,SS ACONGAGUA,SS VALPARAISO SAN ANTONIO,SS VIÑA DEL MAR QUILLOTA,SS LIBERTADOR B. O'HIGGINS,SS DEL MAULE,SS ARAUCO,SS BÍO BÍO,SS CONCEPCIÓN,SS TALCAHUANO,SS ARAUCANÍA NORTE,SS ARAUCANÍA SUR,SS CHILOÉ,SS DEL RELONCAVÍ,SS OSORNO,SS AISÉN,SS MAGALLANES,SS METROPOLITANO CENTRAL,SS METROPOLITANO NORTE,SS METROPOLITANO OCCIDENTE,SS METROPOLITANO ORIENTE,SS METROPOLITANO SUR,SS METROPOLITANO SUR ORIENTE,SS VALDIVIA,SS ARICA,SS ÑUBLE,SS IQUIQUE,SS ANTOFAGASTA,SS ATACAMA,SS COQUIMBO,SS ACONGAGUA,SS VALPARAISO SAN ANTONIO,SS VIÑA DEL MAR QUILLOTA,SS LIBERTADOR B. O'HIGGINS,SS DEL MAULE,SS ARAUCO,SS BÍO BÍO,SS CONCEPCIÓN,SS TALCAHUANO,SS ARAUCANÍA NORTE,SS ARAUCANÍA SUR,SS CHILOÉ,SS DEL RELONCAVÍ,SS OSORNO,SS AISÉN,SS MAGALLANES,SS METROPOLITANO CENTRAL,SS METROPOLITANO NORTE,SS METROPOLITANO OCCIDENTE,SS METROPOLITANO ORIENTE,SS METROPOLITANO SUR,SS METROPOLITANO SUR ORIENTE,SS VALDIVIA,SS ARICA,SS ÑUBLE,SS IQUIQUE,SS ANTOFAGASTA,SS ATACAMA,SS COQUIMBO,SS ACONGAGUA,SS VALPARAISO SAN ANTONIO,SS VIÑA DEL MAR QUILLOTA,SS LIBERTADOR B. O'HIGGINS,SS DEL MAULE,SS ARAUCO,SS BÍO BÍO,SS CONCEPCIÓN,SS TALCAHUANO,SS ARAUCANÍA NORTE,SS ARAUCANÍA SUR,SS CHILOÉ,SS DEL RELONCAVÍ,SS OSORNO,SS AISÉN,SS MAGALLANES,SS METROPOLITANO CENTRAL,SS METROPOLITANO NORTE,SS METROPOLITANO OCCIDENTE,SS METROPOLITANO ORIENTE,SS METROPOLITANO SUR,SS METROPOLITANO SUR ORIENTE,SS VALDIVIA,SS ARICA,SS ÑUBLE,SS IQUIQUE,SS ANTOFAGASTA,SS ATACAMA,SS COQUIMBO,SS ACONGAGUA,SS VALPARAISO SAN ANTONIO,SS VIÑA DEL MAR QUILLOTA,SS LIBERTADOR B. O'HIGGINS,SS DEL MAULE,SS ARAUCO,SS BÍO BÍO,SS CONCEPCIÓN,SS TALCAHUANO,SS ARAUCANÍA NORTE,SS ARAUCANÍA SUR,SS CHILOÉ,SS DEL RELONCAVÍ,SS OSORNO,SS AISÉN,SS MAGALLANES,SS METROPOLITANO CENTRAL,SS METROPOLITANO NORTE,SS METROPOLITANO OCCIDENTE,SS METROPOLITANO ORIENTE,SS METROPOLITANO SUR,SS METROPOLITANO SUR ORIENTE,SS VALDIVIA,SS ARICA,SS ÑUBLE,SS IQUIQUE,SS ANTOFAGASTA,SS ATACAMA,SS COQUIMBO,SS ACONGAGUA,SS VALPARAISO SAN ANTONIO,SS VIÑA DEL MAR QUILLOTA,SS LIBERTADOR B. O'HIGGINS,SS DEL MAULE,SS ARAUCO,SS BÍO BÍO,SS CONCEPCIÓN,SS TALCAHUANO,SS ARAUCANÍA NORTE,SS ARAUCANÍA SUR,SS CHILOÉ,SS DEL RELONCAVÍ,SS OSORNO,SS AISÉN,SS MAGALLANES,SS METROPOLITANO CENTRAL,SS METROPOLITANO NORTE,SS METROPOLITANO OCCIDENTE,SS METROPOLITANO ORIENTE,SS METROPOLITANO SUR,SS METROPOLITANO SUR ORIENTE,SS VALDIVIA,SS ARICA,SS ÑUBLE,SS IQUIQUE,SS ANTOFAGASTA,SS ATACAMA,SS COQUIMBO,SS ACONGAGUA,SS VALPARAISO SAN ANTONIO,SS VIÑA DEL MAR QUILLOTA,SS LIBERTADOR B. O'HIGGINS,SS DEL MAULE,SS ARAUCO,SS BÍO BÍO,SS CONCEPCIÓN,SS TALCAHUANO,SS ARAUCANÍA NORTE,SS ARAUCANÍA SUR,SS CHILOÉ,SS DEL RELONCAVÍ,SS OSORNO,SS AISÉN,SS MAGALLANES,SS METROPOLITANO CENTRAL,SS METROPOLITANO NORTE,SS METROPOLITANO OCCIDENTE,SS METROPOLITANO ORIENTE,SS METROPOLITANO SUR,SS METROPOLITANO SUR ORIENTE,SS VALDIVIA,SS ARICA,SS ÑUBLE
Serie,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas ocupadas intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas totales intensivo,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas ocupadas intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Camas totales intermedio,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 confirmados,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi covid19 sospechosos,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi ocupados,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales,Vmi totales
2020-04-12,7.0,27.0,7.0,17.0,6.0,30.0,69.0,37.0,29.0,0.0,18.0,41.0,23.0,5.0,70.0,7.0,25.0,22.0,2.0,29.0,111.0,73.0,41.0,110.0,46.0,67.0,14.0,6.0,12.0,14.0,46.0,14.0,29.0,16.0,34.0,110.0,60.0,51.0,0.0,28.0,52.0,31.0,13.0,79.0,8.0,29.0,28.0,8.0,40.0,144.0,154.0,63.0,209.0,60.0,77.0,23.0,21.0,27.0,11.0,24.0,6.0,17.0,9.0,23.0,57.0,48.0,12.0,3.0,9.0,14.0,21.0,9.0,13.0,0.0,43.0,9.0,2.0,2.0,92.0,120.0,67.0,154.0,79.0,62.0,10.0,2.0,8.0,12.0,45.0,18.0,42.0,15.0,31.0,67.0,76.0,48.0,4.0,42.0,27.0,36.0,12.0,29.0,0.0,47.0,7.0,6.0,6.0,154.0,183.0,71.0,305.0,85.0,77.0,14.0,11.0,11.0,1.0,3.0,1.0,0.0,1.0,1.0,9.0,3.0,12.0,0.0,4.0,13.0,6.0,3.0,45.0,0.0,6.0,18.0,0.0,14.0,34.0,24.0,19.0,40.0,18.0,21.0,5.0,5.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,7.0,25.0,5.0,22.0,5.0,6.0,35.0,33.0,23.0,0.0,7.0,28.0,16.0,5.0,59.0,6.0,22.0,22.0,2.0,17.0,75.0,60.0,41.0,70.0,44.0,55.0,11.0,6.0,13.0,11.0,55.0,25.0,43.0,9.0,34.0,108.0,73.0,53.0,1.0,55.0,60.0,33.0,14.0,76.0,8.0,31.0,29.0,17.0,31.0,199.0,162.0,77.0,239.0,65.0,47.0,17.0,20.0,43.0
2020-04-13,7.0,28.0,5.0,15.0,6.0,27.0,71.0,34.0,31.0,0.0,16.0,41.0,21.0,6.0,75.0,6.0,26.0,25.0,2.0,29.0,110.0,76.0,44.0,111.0,48.0,67.0,14.0,9.0,12.0,14.0,46.0,14.0,29.0,16.0,34.0,110.0,61.0,51.0,0.0,28.0,52.0,34.0,13.0,87.0,8.0,29.0,28.0,8.0,39.0,142.0,154.0,63.0,219.0,60.0,78.0,23.0,12.0,27.0,9.0,25.0,6.0,19.0,7.0,29.0,55.0,46.0,13.0,4.0,2.0,11.0,20.0,9.0,21.0,0.0,43.0,7.0,3.0,4.0,110.0,123.0,69.0,138.0,77.0,55.0,8.0,3.0,7.0,12.0,45.0,18.0,42.0,17.0,31.0,67.0,82.0,48.0,4.0,42.0,27.0,42.0,12.0,31.0,0.0,47.0,7.0,6.0,6.0,154.0,183.0,71.0,305.0,85.0,75.0,14.0,12.0,11.0,0.0,3.0,1.0,0.0,1.0,2.0,8.0,3.0,13.0,0.0,2.0,14.0,7.0,3.0,47.0,0.0,6.0,20.0,0.0,16.0,37.0,25.0,19.0,47.0,21.0,20.0,5.0,5.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,3.0,2.0,2.0,5.0,7.0,0.0,0.0,0.0,6.0,27.0,5.0,5.0,5.0,18.0,35.0,26.0,24.0,0.0,9.0,26.0,16.0,6.0,63.0,4.0,16.0,25.0,2.0,19.0,75.0,60.0,39.0,70.0,44.0,33.0,11.0,5.0,11.0,11.0,53.0,25.0,44.0,10.0,34.0,110.0,62.0,53.0,0.0,55.0,60.0,33.0,14.0,76.0,8.0,31.0,29.0,17.0,31.0,197.0,162.0,77.0,244.0,65.0,47.0,17.0,15.0,43.0
2020-04-15,6.0,32.0,7.0,17.0,5.0,28.0,71.0,36.0,32.0,0.0,16.0,33.0,20.0,6.0,54.0,7.0,22.0,27.0,3.0,24.0,114.0,81.0,48.0,117.0,44.0,70.0,14.0,11.0,14.0,14.0,45.0,14.0,29.0,16.0,33.0,110.0,61.0,51.0,0.0,28.0,52.0,34.0,13.0,79.0,8.0,29.0,28.0,8.0,39.0,142.0,154.0,63.0,217.0,61.0,76.0,23.0,12.0,27.0,10.0,31.0,5.0,22.0,4.0,30.0,55.0,49.0,22.0,3.0,12.0,14.0,14.0,9.0,18.0,0.0,48.0,7.0,2.0,4.0,109.0,129.0,67.0,176.0,87.0,75.0,7.0,2.0,5.0,12.0,45.0,18.0,42.0,6.0,34.0,67.0,82.0,48.0,4.0,42.0,34.0,42.0,12.0,35.0,0.0,53.0,7.0,6.0,6.0,169.0,183.0,71.0,335.0,109.0,87.0,14.0,12.0,11.0,0.0,3.0,1.0,0.0,0.0,4.0,10.0,4.0,10.0,0.0,2.0,12.0,6.0,3.0,43.0,1.0,5.0,18.0,0.0,15.0,39.0,23.0,19.0,36.0,21.0,18.0,5.0,5.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,2.0,3.0,4.0,0.0,2.0,0.0,3.0,30.0,7.0,23.0,5.0,22.0,26.0,30.0,20.0,0.0,7.0,22.0,15.0,5.0,53.0,5.0,13.0,18.0,1.0,19.0,78.0,62.0,43.0,54.0,44.0,57.0,10.0,8.0,12.0,11.0,53.0,25.0,42.0,8.0,34.0,113.0,77.0,53.0,0.0,54.0,60.0,33.0,14.0,76.0,8.0,31.0,29.0,17.0,32.0,197.0,162.0,77.0,261.0,66.0,75.0,17.0,15.0,43.0
2020-04-16,4.0,35.0,7.0,20.0,6.0,28.0,68.0,38.0,29.0,0.0,12.0,31.0,17.0,5.0,72.0,7.0,22.0,28.0,2.0,31.0,102.0,74.0,54.0,104.0,52.0,73.0,14.0,13.0,11.0,14.0,45.0,14.0,29.0,16.0,33.0,105.0,61.0,51.0,0.0,28.0,56.0,34.0,7.0,91.0,8.0,29.0,28.0,8.0,39.0,145.0,154.0,63.0,217.0,61.0,79.0,24.0,18.0,27.0,11.0,34.0,5.0,22.0,8.0,23.0,53.0,46.0,16.0,4.0,11.0,22.0,20.0,9.0,25.0,0.0,49.0,8.0,1.0,6.0,114.0,129.0,63.0,194.0,89.0,75.0,6.0,6.0,8.0,12.0,45.0,18.0,42.0,17.0,34.0,67.0,70.0,48.0,4.0,42.0,37.0,42.0,12.0,23.0,0.0,53.0,7.0,6.0,6.0,156.0,183.0,71.0,339.0,109.0,87.0,13.0,12.0,11.0,0.0,5.0,1.0,0.0,0.0,4.0,10.0,4.0,11.0,0.0,2.0,15.0,5.0,3.0,39.0,1.0,5.0,18.0,0.0,16.0,39.0,20.0,20.0,30.0,23.0,25.0,5.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,4.0,3.0,0.0,2.0,0.0,3.0,33.0,7.0,20.0,5.0,19.0,28.0,31.0,20.0,0.0,6.0,27.0,13.0,4.0,56.0,5.0,20.0,18.0,1.0,20.0,70.0,56.0,46.0,57.0,49.0,61.0,12.0,9.0,10.0,11.0,53.0,25.0,41.0,11.0,34.0,108.0,71.0,53.0,0.0,54.0,60.0,23.0,14.0,77.0,8.0,31.0,29.0,17.0,32.0,197.0,162.0,77.0,260.0,66.0,78.0,18.0,15.0,43.0
2020-04-18,5.0,35.0,6.0,22.0,7.0,29.0,72.0,29.0,27.0,0.0,12.0,31.0,21.0,5.0,52.0,7.0,26.0,24.0,1.0,32.0,114.0,80.0,50.0,98.0,45.0,82.0,16.0,12.0,14.0,14.0,46.0,14.0,36.0,16.0,33.0,110.0,67.0,51.0,0.0,28.0,56.0,34.0,9.0,79.0,8.0,29.0,30.0,8.0,39.0,145.0,154.0,64.0,217.0,61.0,88.0,23.0,18.0,27.0,6.0,35.0,7.0,15.0,4.0,32.0,52.0,47.0,21.0,4.0,13.0,16.0,21.0,5.0,19.0,0.0,48.0,2.0,1.0,6.0,101.0,127.0,64.0,201.0,88.0,66.0,9.0,0.0,7.0,12.0,46.0,18.0,29.0,17.0,41.0,61.0,76.0,48.0,4.0,42.0,37.0,42.0,4.0,20.0,0.0,55.0,7.0,6.0,6.0,156.0,183.0,70.0,335.0,109.0,78.0,14.0,12.0,11.0,1.0,6.0,1.0,0.0,0.0,4.0,10.0,4.0,10.0,0.0,2.0,9.0,6.0,3.0,40.0,1.0,9.0,18.0,0.0,19.0,43.0,24.0,20.0,48.0,20.0,32.0,5.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,3.0,5.0,0.0,2.0,0.0,4.0,30.0,5.0,18.0,4.0,19.0,33.0,35.0,15.0,0.0,8.0,22.0,15.0,5.0,48.0,6.0,20.0,22.0,0.0,20.0,80.0,62.0,43.0,63.0,44.0,62.0,13.0,8.0,14.0,11.0,53.0,25.0,43.0,16.0,34.0,108.0,77.0,58.0,0.0,54.0,60.0,33.0,14.0,69.0,8.0,31.0,29.0,17.0,31.0,197.0,162.0,78.0,260.0,66.0,49.0,17.0,15.0,43.0
2020-04-19,4.0,36.0,6.0,22.0,7.0,30.0,72.0,41.0,30.0,0.0,17.0,29.0,20.0,5.0,54.0,7.0,22.0,24.0,1.0,34.0,112.0,83.0,49.0,105.0,48.0,74.0,14.0,10.0,15.0,14.0,47.0,14.0,36.0,16.0,33.0,110.0,67.0,51.0,0.0,28.0,62.0,34.0,7.0,79.0,8.0,29.0,28.0,8.0,39.0,145.0,154.0,64.0,217.0,61.0,92.0,23.0,17.0,27.0,6.0,34.0,8.0,20.0,4.0,30.0,57.0,52.0,18.0,4.0,13.0,15.0,20.0,0.0,21.0,0.0,44.0,10.0,0.0,6.0,91.0,131.0,53.0,210.0,95.0,55.0,12.0,9.0,7.0,12.0,46.0,18.0,29.0,17.0,41.0,61.0,76.0,48.0,4.0,42.0,37.0,42.0,6.0,33.0,0.0,61.0,12.0,6.0,6.0,156.0,183.0,69.0,335.0,109.0,66.0,14.0,12.0,11.0,1.0,7.0,1.0,0.0,0.0,5.0,8.0,4.0,9.0,0.0,2.0,10.0,7.0,3.0,35.0,1.0,9.0,17.0,0.0,19.0,45.0,23.0,16.0,38.0,21.0,34.0,5.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,3.0,7.0,5.0,3.0,0.0,2.0,0.0,2.0,32.0,5.0,15.0,4.0,19.0,28.0,30.0,21.0,0.0,13.0,21.0,13.0,5.0,42.0,7.0,16.0,20.0,1.0,23.0,83.0,59.0,38.0,58.0,47.0,68.0,12.0,10.0,15.0,11.0,53.0,25.0,38.0,16.0,34.0,108.0,77.0,58.0,0.0,54.0,65.0,33.0,14.0,78.0,8.0,31.0,29.0,17.0,31.0,197.0,162.0,78.0,260.0,66.0,80.0,17.0,15.0,43.0
