Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26
Arica y Parinacota,15,Arica,15101,247552,0,0,0,4,1,2,23,70,65,53,69,52,45,89,149,192,271,255,193,0
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Total,,252110,0,0,0,4,1,2,23,70,66,53,69,52,45,89,149,192,272,264,193,0
,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,0,0,2,4,7,13,24,37,111,142,266,320,316,273,206,94,0
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,2,0,0
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,18,13,0
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0,2,8,2,10,6,8,13,7,7,0
Tarapaca,01,Iquique,01101,223463,0,0,0,0,0,9,6,14,11,21,42,104,259,401,502,451,439,438,255,0
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,0,1,7,14,10,0,1,4,1,7,8,9,11,10,0
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,0,2,0,0,0,3,5,14,37,57,88,103,33,0
Tarapaca,01,Desconocido Tarapaca,,,0,0,0,0,0,0,0,1,0,0,0,4,95,30,32,25,34,29,20,1
Tarapaca,01,Total,,382773,0,0,0,0,0,11,11,31,38,55,81,231,507,722,909,873,869,814,432,1
,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,0,0,0,1,2,28,31,41,59,109,160,216,312,312,304,351,477,505,277,2
Antofagasta,02,Calama,02201,190336,0,1,1,0,2,3,2,10,16,16,38,53,91,235,280,435,748,786,373,6
Antofagasta,02,Maria Elena,02302,6814,0,0,1,0,0,0,0,1,5,9,16,47,39,30,13,12,11,6,18,0
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,0,1,8,15,18,30,76,45,51,19,19,9,13,12,0
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,0,0,2,1,1,0,0,1,0,0,1,4,3,18,18,14,0
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,16,7,8,0,0
Antofagasta,02,Taltal,02104,13657,0,0,0,0,0,0,0,2,3,2,1,1,4,11,6,9,8,8,7,0
Antofagasta,02,Tocopilla,02301,28079,0,0,0,0,0,2,0,4,5,0,1,2,7,8,8,4,5,16,14,0
Antofagasta,02,Desconocido Antofagasta,,,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,5,12,89,3
Antofagasta,02,Total,,691854,0,1,2,1,4,35,35,67,103,154,252,398,504,654,637,849,1288,1374,804,11
,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,2,6,3,0
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,10,0
Atacama,03,Copiapo,03101,171766,0,0,0,0,1,0,2,1,4,0,12,28,28,14,25,58,114,126,61,0
Atacama,03,Diego de Almagro,03202,14358,0,0,1,0,0,0,1,0,0,0,0,1,1,4,3,6,6,9,3,0
Atacama,03,Freirina,03303,7681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,4,0
Atacama,03,Huasco,03304,11264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,5,1,0
Atacama,03,Tierra Amarilla,03103,14312,0,0,0,0,0,0,0,2,3,0,2,5,11,2,0,1,9,15,7,0
Atacama,03,Vallenar,03301,57009,0,0,0,0,0,0,0,0,1,9,12,9,13,2,6,15,28,55,31,0
Atacama,03,Desconocido Atacama,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Atacama,03,Total,,314709,0,0,1,0,1,0,3,3,8,10,26,46,55,23,36,86,172,225,124,0
,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,0,0,0,0,2,7,3,3,7,5,1,3,0
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,5,3,3,8,0
